model,feature,tp_mean,tp_median,fn_mean,fn_median,cohen_d_tp_vs_fn,tn_mean,tn_median,fp_mean,fp_median,cohen_d_tn_vs_fp,correct_mean,correct_median,incorrect_mean,incorrect_median,cohen_d_correct_vs_incorrect
XGBoost,mean_log_prob,-2.3429013872847393,-1.7221180505086002,-3.2653097197975107,-3.1627512504783226,0.5431194405431524,-2.5035372211539064,-1.952452590386106,-2.9256435406248333,-2.521770985397909,0.18118643304116258,-2.424550540411609,-1.806117221713066,-3.1014240924924055,-2.884314606568831,0.3318982954992005
XGBoost,mean_token_prob,0.5200304809326922,0.5748658565338701,0.35287404418968094,0.3349536573156141,0.7707014356072939,0.504410231588267,0.4913689237208018,0.4301876800516747,0.4524802904965478,0.25401441080709686,0.5120909066802772,0.5383642829954625,0.3901771214149231,0.36523547664745076,0.4725252701675914
XGBoost,token_prob_std,0.3746080917800196,0.3890405129728664,0.3190092652128969,0.34821736572657447,0.5646572781228849,0.2835816358152065,0.3227127060887202,0.34722871321693555,0.38908337419771316,-0.41786060136776565,0.3283405009028771,0.36717685362621677,0.3326248743665965,0.37128467083142574,-0.03204102600300322
XGBoost,mean_entropy,1.447456562969994,1.0937936129048467,1.994655367220102,1.8529305048286915,-0.5663047718372404,1.5022940140655294,1.2599494580386414,1.883999737551594,1.7758751142895823,-0.3595816073125362,1.4753297425323655,1.1560814157128334,1.941265102321678,1.8196827131323516,-0.4592858792158228
XGBoost,max_entropy,3.778445135788078,3.640317678451538,3.8547653573796263,3.7539350986480713,-0.050919121806411005,3.052845055838048,2.847419857978821,4.279681279774635,4.477016448974609,-0.7396798585196337,3.4096318354819855,3.2784085273742676,4.059783156511848,4.101102828979492,-0.40347386452097805
XGBoost,entropy_std,1.1741880644738432,1.139854666813768,1.162051125484308,1.1726328477239518,0.02600788121300625,1.0215165933110009,1.0702719061295394,1.3276171452158836,1.3828196126116028,-0.6020633593532024,1.0965870957059896,1.0977862581230027,1.2419351194403987,1.2888238841226163,-0.2944270312038318
XGBoost,log_perplexity,2.3429013872847393,1.7221180505086002,3.2653097197975107,3.1627512504783226,-0.5431194405431524,2.5035372211539064,1.952452590386106,2.9256435406248333,2.521770985397909,-0.18118643304116258,2.424550540411609,1.806117221713066,3.1014240924924055,2.884314606568831,-0.3318982954992005
XGBoost,log_mean_token_rank,3.10193462457154,2.4368974306016398,3.593113440076,3.429368258628852,-0.2345930811886252,2.5773511905817315,1.488077055429833,3.7893354380612823,3.9898814053080205,-0.5518556973941013,2.8352955310518584,1.9315214116032138,3.6877886453295985,3.597312260588446,-0.39567935226988876
XGBoost,log_max_token_rank,4.857946963364825,4.499809670330265,5.087499660588594,4.990432586778736,-0.08978918675630339,3.5059741724677993,2.302585092994046,5.5485474067180265,6.038067394207891,-0.7216410489722102,4.170756373516613,3.58351893845611,5.309950713195791,5.43372200355424,-0.413678764399162
XGBoost,log_rank_std,3.710361740959024,3.174563406461412,4.030814586874626,4.033858532080634,-0.12822721324611003,2.5222502765557553,1.2254134398411116,4.428546883211642,4.874035214583694,-0.701002815556933,3.106459781151838,2.385311594209689,4.222716550866028,4.347776745262498,-0.42022853806582494
XGBoost,exact_match_agreement,0.2606741573033708,0.0,0.045112781954887216,0.0,0.6799042169926559,0.24818840579710144,0.0,0.09193548387096775,0.0,0.46645023642771166,0.2543278084714549,0.0,0.06770428015564202,0.0,0.5723938561290904
XGBoost,mean_pairwise_similarity,0.7835040662842296,0.8038862347602844,0.7748514454167589,0.8115432858467102,0.05534257450600902,0.8041753328364828,0.8306608200073242,0.7606094332952653,0.7833424210548401,0.2757052801485621,0.7940110083991871,0.8188770413398743,0.7679798131091121,0.8024548292160034,0.16551951663772052
XGBoost,min_pairwise_similarity,0.6359587609698152,0.6976137161254883,0.6492092945521936,0.7187625765800476,-0.05254084506200807,0.6793899062643016,0.7303102314472198,0.6258659135820644,0.6805651485919952,0.21013830755474278,0.658034260235521,0.7148739695549011,0.6379463403097966,0.69984370470047,0.07913112369238985
XGBoost,max_pairwise_similarity,0.943223211425967,0.9915838241577148,0.9115117281899416,0.9251445531845093,0.4054269225794163,0.9441735809263976,0.9673113822937012,0.900517150759697,0.9203212261199951,0.5315043737795389,0.9437062721665174,0.972136914730072,0.9062069515309908,0.9225280284881592,0.4677913462673592
XGBoost,pairwise_similarity_std,0.11466395990113808,0.07712440192699432,0.08586837727352417,0.05554869398474693,0.30935514250164076,0.09800638080459843,0.058840373530983925,0.09572911095024357,0.06325467675924301,0.023169775836824346,0.10619712411726158,0.06330028921365738,0.09062608535100745,0.06028502434492111,0.16238942029095776
XGBoost,mean_pairwise_entailment,0.42766168762264894,0.34151682094662167,0.1612048164758796,0.09766014429388618,0.9050076265419665,0.3753098864721844,0.23154648741114608,0.2585164118641432,0.16488868377386284,0.35252615674909454,0.40105193234174985,0.30189232470456895,0.20815671463986668,0.12288997754597582,0.6124251174184497
XGBoost,mean_pairwise_contradiction,0.17730086644004972,0.08276896277354948,0.34461632688284594,0.3313002829074693,-0.7217236418177041,0.23901330213488045,0.16660717641339534,0.21439832466643247,0.1499625994447252,0.10527112214126215,0.20866851331256037,0.11556795836375526,0.28178740752551024,0.22195973124533283,-0.30875118142602226
XGBoost,nli_disagreement,0.37481958940870036,0.40277324213485477,0.5917057552034832,0.5899534017364723,-0.976946193873881,0.431851707831348,0.48787158613645165,0.4779409564011446,0.5009876550461296,-0.1848904355338624,0.4038082904854053,0.43475252946127874,0.5368153464428218,0.5491006944839948,-0.5562900886129938
